game_id,rated,treat_type,chat_type,gametime_seconds,status,maia_color,maia_name,maia_avg_move_time,opp_avg_move_time,opp_avg_move_time_3+,opp_avg_move_time_3only,num_moves,opp_name_hashed,opp_name,winner,maia_rating,maia_acc,maia_blunders,maia_mistakes,maia_acpl,maia_inacc,opp_rating,opp_acc,opp_blunders,opp_mistakes,opp_acpl,opp_inacc,respond,game_chats
wFbpTOpr,True,0,Control,309.981,mate,white,bcu_555,5.34,5.54,5.84,7.2,55,-2618813456670779166,Sergey1255,opp,1559,75,3,2,87,5,1609,83,1,1,49,4,False,"[]
"
wkCwkCIt,True,1,Placebo,290.952,mate,black,bcu_555,5.87,5.81,6.06,7.28,48,-6928819522679939030,Schmerztablette,opp,1459,80,1,1,58,1,1519,96,0,0,18,0,False,"[{""text"":""hello! good luck!"",""user"":""bcu_555""},{""text"":""bananas are berries"",""user"":""bcu_555""},{""text"":""i like swimming"",""user"":""bcu_555""},{""text"":""i have to go to the grocery store after this"",""user"":""bcu_555""}]
"
wTxvK5PC,True,1,Placebo,599.475,resign,black,bcu_555,5.6,7.18,7.24,8.32,94,4378923600406817411,szyter,maia,1463,94,1,1,16,2,1527,87,4,0,39,3,False,"[{""text"":""hello! good luck!"",""user"":""bcu_555""},{""text"":""bananas are berries"",""user"":""bcu_555""},{""text"":""i like swimming"",""user"":""bcu_555""},{""text"":""i have to go to the grocery store after this"",""user"":""bcu_555""},{""text"":""my cat's name is alex"",""user"":""bcu_555""}]
"
WU504Gk9,True,0,Control,836.227,mate,white,bcu_555,6.7,5.89,6.0,7.44,127,-7678259429981565560,Sleiman58,opp,1568,83,3,2,41,3,1541,90,1,1,25,4,False,"[{""text"":""hello! good luck!"",""user"":""bcu_555""},{""text"":""bananas are berries"",""user"":""bcu_555""},{""text"":""i like swimming"",""user"":""bcu_555""},{""text"":""i have to go to the grocery store after this"",""user"":""bcu_555""},{""text"":""my cat's name is alex"",""user"":""bcu_555""}]
"
x1bfUAgh,True,0,Control,239.408,resign,black,bcu_555,5.37,3.59,3.8,6.72,52,4558429168344495829,w-w-j-b-d,maia,1459,84,2,0,41,2,1499,68,3,0,81,2,False,"[]
"
x2FDUaUJ,True,1,Chatty,538.411,resign,black,bcu_555,5.61,7.71,7.96,9.84,92,9221314911931236815,Rubi_Acevedo,maia,1492,77,2,0,47,1,1478,71,2,0,66,1,False,"[{""text"":""hello! good luck!"",""user"":""bcu_555""},{""text"":""i'm going to take your queen in 4 moves :)"",""user"":""bcu_555""},{""text"":""uh oh..."",""user"":""bcu_555""},{""text"":""nice coordination"",""user"":""bcu_555""},{""text"":""things arent looking good"",""user"":""bcu_555""}]
"
xi4oG77i,True,1,Placebo,537.169,mate,black,bcu_555,6.09,13.13,13.97,3.76,54,6362446910516280706,Genaromillas,opp,1547,81,2,1,50,1,1596,95,0,1,18,0,True,"[{""text"":""hello! good luck!"",""user"":""bcu_555""},{""text"":""bananas are berries"",""user"":""bcu_555""},{""text"":""i like swimming"",""user"":""bcu_555""},{""text"":""cara de banana"",""user"":""genaromillas""},{""text"":""i have to go to the grocery store after this"",""user"":""bcu_555""},{""text"":""my cat's name is alex"",""user"":""bcu_555""},{""text"":""alex"",""user"":""genaromillas""},{""text"":""yo genaro"",""user"":""genaromillas""},{""text"":""solo hablo español"",""user"":""genaromillas""}]
"
y2kryO6h,True,0,Control,215.355,mate,white,bcu_555,6.01,5.49,5.86,4.72,34,-3506041341359210766,mathewosos,maia,1474,78,2,0,44,2,1474,53,2,0,103,3,False,"[]
"
y2sMwThn,True,1,Chatty,916.844,mate,white,bcu_555,6.04,9.7,9.85,4.88,115,-4642315645095032664,D88888888,opp,1477,86,1,0,24,9,1395,97,0,2,7,3,True,"[{""text"":""hello! good luck!"",""user"":""bcu_555""},{""text"":""hi    you to"",""user"":""d88888888""},{""text"":""i'm going to take your queen in 4 moves :)"",""user"":""bcu_555""},{""text"":""good luck"",""user"":""d88888888""},{""text"":""uh oh..."",""user"":""bcu_555""},{""text"":""nice coordination"",""user"":""bcu_555""},{""text"":""things arent looking good"",""user"":""bcu_555""},{""text"":""thank you"",""user"":""d88888888""},{""text"":""you are a good player"",""user"":""d88888888""},{""text"":""good game"",""user"":""d88888888""}]
"
yC89ZBQq,True,0,Control,115.793,mate,black,bcu_555,6.86,6.73,8.7,4.32,16,6816787076119587072,mamoste123,opp,1606,56,2,0,147,1,1622,88,0,0,26,0,False,"[]
"
